Class_Name,Sample_Count,Percentage_Share,Imbalance_Weight
HELP,45,5.84%,0.684
LOVE,45,5.84%,0.684
WATER,42,5.45%,0.733
DAY,42,5.45%,0.733
YES,40,5.19%,0.770
THANK_YOU,38,4.94%,0.811
HOME,37,4.81%,0.832
NAMASTE,34,4.42%,0.906
HAPPY,34,4.42%,0.906
FOOD,33,4.29%,0.933
SAD,33,4.29%,0.933
LEARN,33,4.29%,0.933
SORRY,32,4.16%,0.963
SCHOOL,30,3.90%,1.027
TIME,30,3.90%,1.027
FAMILY,28,3.64%,1.100
PEACE,28,3.64%,1.100
WORK,26,3.38%,1.185
GOOD,23,2.99%,1.339
NO,22,2.86%,1.400
HELLO,21,2.73%,1.467
FRIEND,21,2.73%,1.467
BAD,19,2.47%,1.621
NIGHT,19,2.47%,1.621
PLEASE,15,1.95%,2.053
